sim_index,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,dominant_theta,gene
95,54.73845766,47.71777665,34.49301916,49.78217325,60.06743158,49.90309467,45.17843065,39.42634491,60.87642519,49.90434962,0.14759531,0.125475978,0.05342645,0.202767469,0.226519044,0.244215748,theta_5,NCU03778
96,47.12134298,4.709136207,40.96231813,50.3132119,60.19336766,50.44789508,44.55574467,42.00485082,62.44068542,49.79631249,0.76661378,0.045293305,0.051835179,0.04447417,0.048575469,0.043208096,theta_0,NCU01551
97,44.07516616,52.32072886,0.130924127,49.6334415,0.026220003,51.46402669,39.01328045,38.81909645,67.05514835,49.62814117,1.0,0.0,0.0,0.0,0.0,0.0,theta_0,NCU07392
98,32.99053393,56.01590291,38.57754301,50.05561522,62.68601011,49.60795069,45.67690965,46.51712061,60.4041667,50.31735036,0.298289755,0.08088337,0.023389577,0.177921647,0.191964642,0.227551009,theta_0,NCU00173
99,37.56639442,63.40559046,47.60685218,49.99774594,57.03244498,50.07255542,47.53622839,47.46648301,61.4059738,49.48516822,0.258848175,0.157982932,0.14445529,0.136013471,0.147892863,0.154807268,theta_0,NCU05589
100,62.37219416,37.69724562,34.8173429,48.85904708,59.19091975,50.41851293,44.8461469,46.81028664,61.01415604,49.5523532,0.164737667,0.166910284,0.139077946,0.174293053,0.1780349,0.17694615,theta_4,NCU04047
101,64.67825789,27.5799618,37.89801026,50.23230755,54.00437153,49.23428368,48.4104376,49.35016597,56.20179092,50.46097251,0.08087109,0.170963077,0.13105615,0.204521952,0.206537963,0.206049769,theta_4,NCU09532
102,61.58293018,3.426196358,47.44253471,50.49158625,62.51420658,50.01207993,44.31687104,46.29241589,63.41572206,49.68683783,0.733472579,0.051460515,0.048698132,0.056469765,0.056930003,0.052969006,theta_0,NCU00025
103,46.01116025,49.98670237,0.084837016,49.84374675,0.08859752,49.95382137,40.52468867,39.15060715,65.61481616,49.59205556,0.265653847,0.139271715,0.126527357,0.155969168,0.162007311,0.150570603,theta_0,NCU03147
104,10.50297366,65.07034849,56.55946462,50.13250412,50.19853314,48.76154566,49.35978549,49.27453122,50.89397638,49.80630947,0.206202792,0.198948889,0.172150334,0.122463989,0.141996674,0.158237321,theta_0,NCU04266
105,65.30874384,7.665903496,42.01454591,50.58647541,61.88201177,49.23241554,46.26715666,43.72857216,62.57749879,49.20364788,0.797478621,0.036553261,0.02367716,0.045613833,0.045404092,0.051273032,theta_0,NCU08920
106,23.81795637,63.5369935,50.41021463,50.21249678,46.69688047,49.32564124,52.98915769,50.13402738,56.27663932,48.93147366,0.293484526,0.063211472,0.499318761,0.044099477,0.049320441,0.050565324,theta_2,NCU04055
107,73.10004492,6.626384396,7.023243751,91.56826974,5.83215713,37.40147878,88.09808508,97.93030116,86.50348718,73.35752378,0.993300962,0.001535046,0.001309695,0.002161198,0.000708893,0.000984205,theta_0,NCU05768
108,57.12874698,10.31482864,51.43762966,49.45182115,61.10833125,49.66039024,48.84715484,53.79346756,56.67063214,51.08405835,0.677680706,0.063841424,0.068613853,0.059033771,0.064846258,0.065983989,theta_0,NCU03284
109,17.30307828,63.40861649,40.6985906,50.30683886,59.40315528,50.53278343,44.43510521,49.21058192,58.62148036,50.28242288,0.245340499,0.134862843,0.074292528,0.179945366,0.18178409,0.183774674,theta_0,NCU09313
110,3.248551486,63.03205849,54.83402478,48.97849429,33.54151914,49.96876617,54.19563684,50.52763471,48.92963317,50.41706655,0.01384513,0.053577256,0.010342981,0.343961166,0.258130108,0.320143359,theta_3,NCU09776
111,58.86625906,36.01683908,39.00723753,50.29595086,58.85705595,51.59014705,47.46079478,46.59006587,58.70235269,49.36847875,0.046125055,0.197591249,0.152662881,0.216471985,0.204628312,0.182520518,theta_3,NCU08295
112,55.16769788,50.18404483,43.23482835,49.05851478,55.0566769,50.77987492,46.30358302,48.23987918,60.50672171,50.29684129,0.180049852,0.165721481,0.167929534,0.15550246,0.159823266,0.170973408,theta_0,NCU07161
113,53.70568585,51.17145509,41.34162307,49.44880858,53.83822896,49.72818805,51.29165584,49.81306946,56.34189886,49.72783486,0.403331118,0.119907136,0.160072135,0.113372308,0.105675138,0.097642166,theta_0,NCU04145
114,55.07464232,45.22718783,47.00933688,49.93365152,62.17501611,49.61635524,46.13369378,44.64676138,64.1999521,49.09005885,0.075739044,0.136646999,0.06089987,0.221225812,0.237946354,0.26754192,theta_5,NCU04504
115,34.78336604,64.60740886,37.35433561,50.53744692,56.15026432,49.334642,49.45974983,47.9246152,61.37356707,49.65036796,0.202076208,0.13792333,0.073810796,0.200279159,0.189479271,0.196431236,theta_0,NCU00109
116,42.69005439,15.48492006,37.08956346,50.21281343,54.83575117,49.77475081,44.93543724,44.90186862,60.27007628,48.96942489,0.630200948,0.061708707,0.037808979,0.08367187,0.094587849,0.092021647,theta_0,NCU06385
117,59.7800367,43.00435381,56.01726654,48.41401972,59.68166436,49.87848892,51.7792151,47.69817284,59.82060762,50.08042337,0.167383296,0.160783907,0.136540085,0.170294576,0.185318611,0.179679526,theta_4,NCU03048
118,58.5003427,40.73104487,42.66471706,49.65734944,43.90255094,49.53135068,45.03630472,48.54120886,56.74645723,48.8134437,0.063151069,0.20164585,0.231118469,0.17184395,0.166872703,0.165367959,theta_2,NCU01797
119,52.37312017,46.52607538,35.14778384,50.28463873,59.37615384,51.49749699,48.09378383,43.85868493,61.22254086,49.35692988,0.363945918,0.102227618,0.050041943,0.14836869,0.157309619,0.178106211,theta_0,NCU01700
120,41.67643149,13.98308824,49.59738015,50.26939542,55.29334588,48.48117281,48.63273175,47.91066166,60.12118323,49.20679543,0.759089605,0.041303863,0.082306384,0.03694491,0.04104156,0.039313678,theta_0,NCU01719
121,10.98281037,63.16205457,50.35717028,48.78764048,16.09837951,49.29439632,47.46007863,44.79963856,50.57531822,50.11041054,0.000950316,0.121442437,0.576897897,0.113057383,0.101235977,0.086415989,theta_2,NCU01546
