sim_index,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,dominant_theta,gene
52,58.78093418,45.81815218,51.0296002,50.35405379,52.65085253,50.42587764,51.13329681,49.10419718,52.7124126,49.49933936,0.264768787,0.146937892,0.120033676,0.146791163,0.155896824,0.165571659,theta_0,NCU09770
53,52.24843576,54.97821089,52.35594364,50.56670297,64.40585522,50.11689369,43.88390606,46.21317118,63.73503326,48.99654282,0.300581712,0.136435944,0.08687552,0.152756144,0.16309965,0.160251029,theta_0,NCU09317
54,52.86958347,49.71127678,41.6378356,49.03711438,52.94433816,50.34012681,45.89395121,45.41070883,59.58336677,50.05142196,0.150389933,0.164993378,0.128125171,0.18335915,0.181557184,0.191575184,theta_5,NCU09188
55,67.15327749,7.162275068,44.43966559,49.52592004,57.30379669,49.43902315,46.42181453,49.07599435,61.23362072,50.32893562,0.728313509,0.050189859,0.04841905,0.057934084,0.056603377,0.058540121,theta_0,NCU05255
56,49.30940508,45.81975275,46.9581849,49.62485326,61.45175493,50.22008473,43.82854052,43.66387873,62.66015614,51.02567532,0.385644449,0.09027574,0.037519691,0.14551178,0.161614799,0.179433542,theta_0,NCU02998
57,2.694816585,59.59427346,56.41306907,49.76189707,22.32207718,50.49506951,48.6711564,50.02114172,49.7437687,49.76871111,0.037473278,0.161569153,0.034850076,0.284698691,0.246668258,0.234740544,theta_3,NCU05737
58,26.13989637,56.88286018,1.535657451,50.10655555,0.116997146,49.86519595,37.58160121,40.79234175,68.28934069,48.6901153,0.240342445,0.134652573,0.093612827,0.173793928,0.171724222,0.185874004,theta_0,NCU08954
59,61.515115,33.59980683,56.48097888,50.94957164,59.58776118,50.95399838,48.85188027,47.21110984,60.45523803,49.984271,0.112991675,0.176324467,0.144248947,0.17645062,0.193550823,0.196433468,theta_5,NCU01068
60,45.77426912,6.933640087,34.41476057,50.09503992,55.5552247,50.85618743,48.39896892,48.63821824,60.2903216,49.07547215,0.685468131,0.057823852,0.041139724,0.07476119,0.073824514,0.06698259,theta_0,NCU03682
61,36.66985113,2.498231973,38.4024547,49.42739536,61.16377631,49.9058575,43.16916352,41.75811831,60.06632688,50.71148671,0.907351929,0.01012071,0.003638402,0.021838686,0.026856772,0.030193501,theta_0,NCU02804
62,58.65168559,47.72481412,42.52562129,50.27544623,49.04896643,50.15379753,48.00711205,49.30129318,58.65279195,50.05477015,0.427913638,0.082007536,0.03539229,0.133002861,0.143282261,0.178401414,theta_0,NCU00821
63,51.78880555,42.03814007,49.82890639,49.63132629,54.98176142,50.18349459,50.56976036,51.55319771,57.15586108,50.96407543,0.441500382,0.096442142,0.048372948,0.123558937,0.137516276,0.152609315,theta_0,NCU00729
64,47.26267624,51.18888526,39.2643965,49.95476383,58.07237396,49.71436845,48.41627362,48.5487668,61.07532745,49.9216364,0.064298987,0.170552641,0.079650238,0.229728365,0.232143135,0.223626633,theta_4,NCU07722
65,29.74068306,2.673467428,47.06361417,50.11269058,52.78192623,49.38831547,45.29209114,45.82085594,54.2869516,49.66161413,0.914387472,0.016418604,0.012693481,0.016804827,0.020812031,0.018883584,theta_0,NCU09818
66,61.92370444,1.499496348,2.127130489,89.29405482,27.06063192,63.18688738,92.71589913,30.97750737,71.79570337,28.04237439,0.850599105,0.024757408,0.032140549,0.03591551,0.0315724,0.025015029,theta_0,NCU02808
