test_type,regulators,reg_a,reg_b,reg_c,n_a,n_b,n_c,observed_overlap,expected_overlap,direction,p_upper,p_value,q_value,significant_bh
triple,NCU07155 + lhp-1 + NCU03363,Reg4 NCU07155,PostReg5 NCU08295,PostReg7 NCU03363,631,739,160.0,0,8.148092167943913,depleted,0.9999999999999984,0.0004288478539964386,0.0021941052995166624,True
triple,NCU06108 + lhp-1 + rrp-3,Reg3 NCU06108,PostReg5 NCU08295,PostReg6 NCU04504,578,739,173.0,0,8.070130034086604,depleted,0.9999999999999991,0.0004718048179011944,0.002359024089505972,True
pair,rpn-4 + rrp-3,Reg2 NCU01640,PostReg6 NCU04504,,177,173,,1,10.11929940515532,depleted,0.9999784537893606,0.0005360072632578709,0.0025635129981898177,True
triple,NCU07155 + lhp-1 + has-1,Reg4 NCU07155,PostReg5 NCU08295,PostReg10 NCU09349,631,739,156.0,0,7.944389863745315,depleted,0.9999999999999983,0.0005308075248216498,0.0025635129981898177,True
pair,pro-1 + NCU03363,Reg1 NCU07392,PostReg7 NCU03363,,289,160,,4,15.280898876404494,depleted,0.9999257867393944,0.0006904556703287556,0.0032319201589856646,True
triple,NCU06108 + lhp-1 + NCU03363,Reg3 NCU06108,PostReg5 NCU08295,PostReg7 NCU03363,578,739,160.0,0,7.463704077767958,depleted,0.9999999999999986,0.0008892694262117939,0.004075818203470722,True
triple,NCU06108 + lhp-1 + has-1,Reg3 NCU06108,PostReg5 NCU08295,PostReg10 NCU09349,578,739,156.0,0,7.27711147582376,depleted,0.9999999999999988,0.0010805440693617107,0.0048514223522362525,True
pair,rpn-4 + NCU03363,Reg2 NCU01640,PostReg7 NCU03363,,177,160,,1,9.358889623265036,depleted,0.9999505619598668,0.0011398316911006342,0.0050152594408427904,True
pair,WCC + NCU03363,Wcc,PostReg7 NCU03363,,210,160,,2,11.103767349636485,depleted,0.9999009441209663,0.0013457793046374256,0.005805322490592816,True
triple,rpn-4 + NCU06108 + NCU07155,Reg2 NCU01640,Reg3 NCU06108,Reg4 NCU07155,177,578,631.0,0,7.050056811008711,depleted,0.9999999999999993,0.0013970742031667119,0.005910698551859166,True
triple,NCU06108 + NCU07155 + rrp-3,Reg3 NCU06108,Reg4 NCU07155,PostReg6 NCU04504,578,631,173.0,0,6.890733493245802,depleted,0.9999999999999987,0.0016490908791681658,0.0068452828946603105,True
pair,WCC + has-1,Wcc,PostReg10 NCU09349,,210,156,,2,10.826173165895572,depleted,0.9998690309529606,0.001736020205109507,0.0070313552981970786,True
pair,rrp-3 + has-1,PostReg6 NCU04504,PostReg10 NCU09349,,173,156,,1,8.918704560475875,depleted,0.9999201197677586,0.0017578388245492696,0.0070313552981970786,True
pair,NCU06108 + rok-1,Reg3 NCU06108,PostReg9 NCU00919,,578,54,,2,10.314606741573034,depleted,0.9998660700141648,0.0018554360422766542,0.0071613320929976125,True
pair,NCU06108 + pab-1,Reg3 NCU06108,PostReg8 NCU04799,,578,88,,6,16.808988764044944,depleted,0.999744049610313,0.0018309349574957793,0.0071613320929976125,True
pair,pro-1 + pab-1,Reg1 NCU07392,PostReg8 NCU04799,,289,88,,1,8.404494382022472,depleted,0.99987279594096,0.00269595802714124,0.010226047689156428,True
triple,NCU06108 + NCU07155 + NCU03363,Reg3 NCU06108,Reg4 NCU07155,PostReg7 NCU03363,578,631,160.0,0,6.372932710516349,depleted,0.9999999999999986,0.0028255115552670578,0.010535805799300893,True
triple,NCU06108 + NCU07155 + has-1,Reg3 NCU06108,Reg4 NCU07155,PostReg10 NCU09349,578,631,156.0,0,6.21360939275344,depleted,0.9999999999999982,0.003334120819953656,0.012225109673163407,True
pair,pro-1 + rok-1,Reg1 NCU07392,PostReg9 NCU00919,,289,54,,0,5.157303370786517,depleted,1.0,0.00841372529518541,0.03034458303181623,True
pair,rrp-3 + pab-1,PostReg6 NCU04504,PostReg8 NCU04799,,173,88,,0,5.031064111037674,depleted,1.0,0.01040230080771015,0.03691138996284247,True
triple,WCC + pro-1 + lhp-1,Wcc,Reg1 NCU07392,PostReg5 NCU08295,210,289,739.0,0,4.898055801035222,depleted,0.9999999999999991,0.013357042212969477,0.046643639473861666,True
triple,NCU07155 + lhp-1 + pab-1,Reg4 NCU07155,PostReg5 NCU08295,PostReg8 NCU04799,631,739,88.0,0,4.481450692369152,depleted,0.9999999999999983,0.019609469802951838,0.06740755244764694,False
pair,WCC + pab-1,Wcc,PostReg8 NCU04799,,210,88,,1,6.107072042300066,depleted,0.9983804325000978,0.02517362191676516,0.08520302802597439,False
triple,WCC + pro-1 + NCU07155,Wcc,Reg1 NCU07392,Reg4 NCU07155,210,289,631.0,0,4.182237091276354,depleted,0.999999999999999,0.02811147243289636,0.09370490810965454,False
triple,pro-1 + rpn-4 + lhp-1,Reg1 NCU07392,Reg2 NCU01640,PostReg5 NCU08295,289,177,739.0,0,4.128361318015402,depleted,0.9999999999999992,0.029555474941508557,0.09562065422252769,False
triple,NCU06108 + lhp-1 + pab-1,Reg3 NCU06108,PostReg5 NCU08295,PostReg8 NCU04799,578,739,88.0,0,4.105037242772378,depleted,0.9999999999999987,0.029214297331590523,0.09562065422252769,False
triple,pro-1 + lhp-1 + rrp-3,Reg1 NCU07392,PostReg5 NCU08295,PostReg6 NCU04504,289,739,173.0,0,4.035065017043302,depleted,0.9999999999999993,0.032536285567235604,0.10373888151872221,False
pair,WCC + rok-1,Wcc,PostReg9 NCU00919,,210,54,,0,3.7475214805023134,depleted,1.0,0.0396977143070529,0.1247642449650234,False
triple,WCC + pro-1 + NCU06108,Wcc,Reg1 NCU07392,Reg3 NCU06108,210,289,578.0,0,3.8309556874132054,depleted,0.9999999999999991,0.04043919994960049,0.12530456322411418,False
triple,pro-1 + lhp-1 + NCU03363,Reg1 NCU07392,PostReg5 NCU08295,PostReg7 NCU03363,289,739,160.0,0,3.731852038883979,depleted,0.9999999999999989,0.04445007353475141,0.13581966913396265,False
triple,pro-1 + lhp-1 + has-1,Reg1 NCU07392,PostReg5 NCU08295,PostReg10 NCU09349,289,739,156.0,0,3.63855573791188,depleted,0.9999999999999993,0.04892489547348609,0.14744489046804024,False
triple,NCU06108 + NCU07155 + pab-1,Reg3 NCU06108,Reg4 NCU07155,PostReg8 NCU04799,578,631,88.0,0,3.5051129907839917,depleted,0.9999999999999987,0.05495220722953529,0.16205163037157694,False
triple,pro-1 + rpn-4 + NCU07155,Reg1 NCU07392,Reg2 NCU01640,Reg4 NCU07155,289,177,631.0,0,3.5250284055043557,depleted,0.9999999999999989,0.05524487399031032,0.16205163037157694,False
triple,pro-1 + NCU07155 + rrp-3,Reg1 NCU07392,Reg4 NCU07155,PostReg6 NCU04504,289,631,173.0,0,3.445366746622901,depleted,0.9999999999999989,0.059950967795525986,0.17354227519757523,False
pair,rpn-4 + pab-1,Reg2 NCU01640,PostReg8 NCU04799,,177,88,,1,5.14738929279577,depleted,0.9954117848352977,0.06092591577864658,0.1740740450818474,False
pair,rpn-4 + rok-1,Reg2 NCU01640,PostReg9 NCU00919,,177,54,,0,3.15862524785195,depleted,1.0,0.0749175547774275,0.20886575035170052,False
triple,pro-1 + rpn-4 + NCU06108,Reg1 NCU07392,Reg2 NCU01640,Reg3 NCU06108,289,177,578.0,0,3.228948365105416,depleted,0.9999999999999992,0.075001792171747,0.20886575035170052,False
triple,pro-1 + NCU07155 + NCU03363,Reg1 NCU07392,Reg4 NCU07155,PostReg7 NCU03363,289,631,160.0,0,3.1864663552581747,depleted,0.9999999999999988,0.07817987035720415,0.21499464348231143,False
